substance,cscn,csa_schedule,narcotic,other_names
Chlordiazepoxide,2744,IV,N,Librium; Libritabs; Limbitrol; SK-Lygen
Chlorhexadol,2510,III,N,Mechloral; Mecoral; Medodorm; Chloralodol
Chlorphentermine,1645,III,N,Pre-Sate; Lucofen; Apsedon; Desopimon
Clobazam,2751,IV,N,Urbadan; Urbanyl
Clonazepam,2737,IV,N,Klonopin; Clonopin
Clorazepate,2768,IV,N,Tranxene
Clortermine,1647,III,N,Voranil
Clostebol (4-chloro-17β-hydroxyandrost-4-en-3-one),4000,III,N,Alfa-Trofodermin; Clostene; 4-chlorotestosterone
Clotiazepam,2752,IV,N,Trecalmo; Rize; Clozan; Veratran
Cloxazolam,2753,IV,N,Akton; Lubalix; Olcadil; Sepazon
Coca Leaves,9040,II,Y,
Cocaine,9041,II,Y,Methyl benzoylecgonine; Crack
Codeine,9050,II,Y,Morphine methyl ester; methyl morphine
Codeine & isoquinoline alkaloid 90 mg/du,9803,III,Y,Codeine with papaverine or noscapine
Codeine combination product 90 mg/du,9804,III,Y,Empirin; Fiorinal; Tylenol; ASA or APAP w/codeine
"Daridorexant ([(S)-2-(5-chloro-4-methyl-1H benzo[d]imidazol-2-yl)-2methylpyrrolidin-1-yl](5-methoxy-2-(2H-1,2,3-triazol-2-yl)phenyl)methanone)",2410,IV,N,QUVIVIQ
"Dehydrochloromethyltestosterone (4-chloro-17β-hydroxy-17α-methyl-androst-1,4-dien-3-one)",4000,III,N,Oral-Turinabol
Delorazepam,2754,IV,N,
Desoxymethyltestosterone (17α-methyl-5α-androst-2-en-17β-ol),4000,III,N,Madol
Dextropropoxyphene dosage forms,9278,IV,Y,Darvon; propoxyphene; Darvocet; Propacet
"Dextropropoxyphene, bulk (non-dosage forms)",9273,II,Y,Propoxyphene
Diazepam,2765,IV,N,Valium; Diastat
Dichloralphenazone,2467,IV,N,Midrin; dichloralantipyrine
Diethylpropion,1610,IV,N,Tenuate; Tepanil
Difenoxin 1 mg/25 ug AtSO4/du Difenoxin preparations - 0.5 mg/25 ug AtSO4/du,9167,IV,Y,Motofen Motofen
Dihydrocodeine,9120,II,Y,Didrate; Parzone
Dihydrocodeine combination product 90 mg/du Dihydrocodeine preparations 100mg/(100 ml or 100 gm),9807,III,Y,"Synalgos-DC; Compal Cophene-S, various others"
Dihydroetorphine,9334,II,Y,DHE
Diphenoxylate,9170,II,Y,
Dronabinol (synthetic) in sesame oil in soft gelatin capsule as approved by FDA,7369,III,N,Marinol; synthetic THC in sesame oil/soft gelatin as approved by FDA
Dronabinol in an oral solution in a drug product approved for marketing by the U.S. Food and Drug Administration,7365,II,N,Syndros
Drostanolone (17β-hydroxy-2α-methyl-5α-androstan-3-one),4000,III,N,Drolban; Masterid; Permastril
Ecgonine,9180,II,Y,"Cocaine precursor, in Coca leaves"
Eluxadoline,9725,IV,N,VIBERZI
Embutramide,2020,III,N,Tributane
Estazolam,2756,IV,N,ProSom; Domnamid; Eurodin; Nuctalon
"Estra-4,9,11-triene-3,17-dione",4000,III,N,
Ethchlorvynol,2540,IV,N,Placidyl
Ethinamate,2545,IV,N,Valmid; Valamin
Ethyl loflazepate,2758,IV,N,
Ethylestrenol (17α-ethyl-17β-hydroxyestr-4-ene),4000,III,N,Maxibolin; Orabolin; Durabolin-O; Duraboral
Ethylmorphine,9190,II,Y,Dionin
Ethylmorphine combination product 15 mg/du Ethylmorphine preparations 100 mg/(100 ml or 100 gm),9808,III,Y,
Etorphine HCl,9059,II,Y,M 99
Ezogabine,2779,V,N,Potiga
Fencamfamin,1760,IV,N,Reactivan
Fenproporex,1575,IV,N,Gacilin; Solvolip
Fentanyl,9801,II,Y,Duragesic; Oralet; Actiq; Sublimaze; Innovar
Fludiazepam,2759,IV,N,
Flunitrazepam,2763,IV,N,Rohypnol; Narcozep; Darkene; Roipnol
"Fluoxymesterone (9-fluoro-17α-methyl-11β,17β-dihydroxyandrost-4-en-3-one)",4000,III,N,Anadroid-F; Halotestin; Ora-Testryl
Flurazepam,2767,IV,N,Dalmane
"Formebolone (2-formyl-17α-methyl-11α,17β-dihydroxyandrost-1,4-dien-3-one)",4000,III,N,Esiclene; Hubernol
Fospropofol,2138,IV,N,Lusedra
"Furazabol (17α-methyl-17β-hydroxyandrostano[2,3-c]-furazan)",4000,III,N,Frazalon; Miotolon; Qu Zhi Shu
Gamma Hydroxybutyric Acid preparations,2012,III,N,Xyrem
Ganaxolone (3α-hydroxy-3β-methyl-5α-pregnan-20-one),2401,V,N,
Glutethimide,2550,II,N,Doriden; Dorimide
Halazepam,2762,IV,N,Paxipam
Haloxazolam,2771,IV,N,
Hydrocodone,9193,II,Y,Dihydrocodeinone
Hydromorphone,9150,II,Y,Dilaudid; dihydromorphinone
Isomethadone,9226,II,Y,Isoamidone
Ketamine,7285,III,N,Ketaset; Ketalar; Special K; K
Ketazolam,2772,IV,N,Anxon; Loftran; Solatran; Contamex
Lacosamide,2746,V,N,Vimpat
"Lasmiditan [2,4,6-trifluoro-N-(6-(1-methylpiperidine-4-carbonyl)pyridine-2-yl-benzamide]",2790,V,N,Reyvow
Lemborexant,2245,IV,N,"(1R,2S)-2-[(2,4-Dimethylpyrimidin-5-yl)oxymethyl]-2-(3-fluorophenyl)-N-(5-fluoropyridin-2-yl)cyclopropane-1-carboxamide"
Levo-alphacetylmethadol,9648,II,Y,LAAM; long acting methadone; levomethadyl acetate
Levomethorphan,9210,II,Y,
Levorphanol,9220,II,Y,Levo-Dromoran
Lisdexamfetamine,1205,II,N,Vyvanse
Loprazolam,2773,IV,N,
Lorazepam,2885,IV,N,Ativan
Lorcaserin,1625,IV,N,Belviq
Lormetazepam,2774,IV,N,Noctamid
Lysergic acid,7300,III,N,LSD precursor
Lysergic acid amide,7310,III,N,LSD precursor
"Marijuana extract, as defined in 21 CFR 1308.11(d)(58), in a U.S. Food and Drug Administration approved product or subject to a state medical marijuana license",7353,III,N,
"Marijuana, as defined in 21 U.S.C. 802(16), in a U.S. Food and Drug Administration approved product or subject to a state medical marijuana license",7362,III,N,
Mazindol,1605,IV,N,Sanorex; Mazanor
Mebutamate,2800,IV,N,Capla
Medazepam,2836,IV,N,Nobrium
Mefenorex,1580,IV,N,Anorexic; Amexate; Doracil; Pondinil
Meperidine,9230,II,Y,Demerol; Mepergan; pethidine
Meperidine intermediate-A,9232,II,Y,Meperidine precursor
Meperidine intermediate-B,9233,II,Y,Meperidine precursor; normeperidine
Meperidine intermediate-C,9234,II,Y,Meperidine precursor
Meprobamate,2820,IV,N,Miltown; Equanil; Micrainin; Equagesic; Meprospan
Mestanolone (17α-methyl-17β-hydroxy-5α-androstan-3-one),4000,III,N,Assimil; Ermalone; Methybol; Tantarone
Mesterolone (1α-methyl-17β-hydroxy-5α-androstan-3-one),4000,III,N,Androviron; Proviron; Testiwop
Metazocine,9240,II,Y,
Methadone,9250,II,Y,Dolophine; Methadose; Amidone
"Methadone intermediate (4-cyano-2-dimethylamino-4,4-diphenylbutane)",9254,II,Y,Methadone precursor
Methamphetamine,1105,II,N,Desoxyn; D-desoxyephedrine; ICE; Crank; Speed
"Methandienone (17α-methyl-17β-hydroxyandrost-1,4-dien-3-one)",4000,III,N,Dianabol; Metabolina; Nerobol; Perbolin
"Methandriol (17α-methyl-3β,17β-dihydroxyandrost-5-ene)",4000,III,N,Sinesex; Stenediol; Troformone
"Methasterone (2α,17α-dimethyl-5α-androstan-17β-ol-3-one)",4000,III,N,"Methasterone; 2α,17α-dimethyl-17β-hydroxy-5α-androstan-3-one"
Methenolone (1-methyl-17β-hydroxy-5α-androst-1-en-3-one),4000,III,N,Primobolan; Primobolan Depot; Primobolan S
Methohexital,2264,IV,N,Brevital
"Methyldienolone (17α-methyl-17β-hydroxyestra-4,9(10)-dien-3-one)",4000,III,N,
Methylphenidate,1724,II,N,Concerta; Ritalin; Methylin
Methylphenobarbital (mephobarbital),2250,IV,N,Mebaral; mephobarbital
Methyltestosterone (17α-methyl-17β-hydroxyandrost-4-en-3-one),4000,III,N,Android; Oreton; Testred; Virilon
"Methyltrienolone (17α-methyl-17β-hydroxyestra-4,9,11-trien-3-one)",4000,III,N,Metribolone
Methyprylon,2575,III,N,Noludar
Metopon,9260,II,Y,
"Mibolerone (7α,17α-dimethyl-17β-hydroxyestr-4-en-3-one)",4000,III,N,Cheque; Matenon
Midazolam,2884,IV,N,Versed
Modafinil,1680,IV,N,Provigil
Moramide-intermediate,9802,II,Y,
Morphine,9300,II,Y,MS Contin; Roxanol; Oramorph; RMS; MSIR
Morphine combination product/50 mg/(100 ml or 100 gm),9810,III,Y,
Nabilone,7379,II,N,Cesamet
Nalorphine,9400,III,Y,Nalline
Nandrolone (17β-hydroxyestr-4-en-3-one),4000,III,N,Deca-Durabolin; Durabolin; Durabolin-50
Naturally derived delta-9-tetrahydrocannabinols in a U.S. Food and Drug Administration approved product or in marijuana subject to a state medical marijuana license,7386,III,N,"(i) Naturally derived delta-9-tetrahydrocannabinols means those delta-9-tetrahydrocannabinols, except as in paragraphs 21 CFR 1308.13(g)(2) and (3), that are naturally contained in a plant of the genus Cannabis (cannabis plant) (ii) Naturally derived delta-9-tetrahydrocannabinols do not include any material, compound, mixture, or preparation that falls within the definition of hemp set forth in 7 U.S.C. 1639o (iii) Naturally derived delta-9-tetrahydrocannabinols do not include any delta-9-tetrahydrocannabinols contained in substances excluded from the definition of marijuana as set forth in 21 U.S.C 802(16)(B)(ii)"
Nimetazepam,2837,IV,N,Erimin
Nitrazepam,2834,IV,N,Mogadon
"Norbolethone (13β,17α-diethyl-17β-hydroxygon-4-en-3-one)",4000,III,N,Genabol
Norclostebol (4-chloro-17β-hydroxyestr-4-en-3-one),4000,III,N,Anabol-4-19; Lentabol
Nordiazepam,2838,IV,N,Nordazepam; Demadar; Madar
Norethandrolone (17α-ethyl-17β-hydroxyestr-4-en-3-one),4000,III,N,Nilevar; Pronabol; Solevar
Norfentanyl (N-phenyl-N-(piperidin-4-yl)propionamide),8366,II,Y,
Normethandrolone (17α-methyl-17β-hydroxyestr-4-en-3-one),4000,III,N,Lutenin; Matronal; Orgasteron
Noroxymorphone,9668,II,Y,
Oliceridine (N-[(3-methoxythiophen-2-yl)methyl] ({2-[(9R)-9-(pyridin-2-yl)-6-oxaspiro [4.5]decan-9-yl]ethyl{time} )amine fumarate),9245,II,Y,
Opium combination product 25 mg/du,9809,III,Y,"Paregoric, other combination products"
Opium extracts,9610,II,Y,
Opium fluid extract,9620,II,Y,
Opium poppy Opium preparations - 100 mg/(100 ml or 100 gm),9650,II,Y,Papaver somniferum Parepectolin; Kapectolin PG; Kaolin Pectin P.G.
Opium tincture,9630,II,Y,Laudanum
"Opium, granulated",9640,II,Y,Granulated opium
"Opium, powdered",9639,II,Y,Powdered opium
"Opium, raw",9600,II,Y,Raw opium; gum opium
Oripavine,9330,II,Y,
Oxandrolone (17α-methyl-17β-hydroxy-2-oxa-5α-androstan-3-one),4000,III,N,Anavar; Lonavar; Oxandrin; Provitar; Vasorome
Oxazepam,2835,IV,N,Serax; Serenid-D
Oxazolam,2839,IV,N,Serenal; Convertal
Oxycodone,9143,II,Y,OxyContin; Percocet; Endocet; Roxicodone; Roxicet
"Oxymesterone (17α-methyl-4,17β-dihydroxyandrost-4-en-3-one)",4000,III,N,Anamidol; Balnimax; Oranabol; Oranabol 10
Oxymetholone (17α-methyl-2-hydroxymethylene-17β-hydroxy-5α-androstan-3-one),4000,III,N,Anadrol-50; Adroyd; Anapolon; Anasteron; Pardroyd
Oxymorphone,9652,II,Y,Numorphan
Paraldehyde,2585,IV,N,Paral
Pemoline,1530,IV,N,Cylert
Pentazocine,9709,IV,N,Talwin; Talwin NX; Talacen; Talwin Compound
Pentobarbital,2270,II,N,Nembutal
Pentobarbital & noncontrolled active ingred.,2271,III,N,FP-3
Pentobarbital suppository dosage form,2271,III,N,WANS
Perampanel,2261,III,N,"Fycompa; [2-(2-oxo-l-phenyl-5-pyridin-2-yl-l ,2-dihydropyridin-3-yl) benzonitrile]"
Petrichloral,2591,IV,N,Pentaerythritol chloral; Periclor
Phenazocine,9715,II,Y,Narphen; Prinadol
Phencyclidine,7471,II,N,PCP; Sernylan
Phendimetrazine,1615,III,N,Plegine; Prelu-2; Bontril; Melfiat; Statobex
Phenmetrazine,1631,II,N,Preludin
Phenobarbital,2285,IV,N,Luminal; Bellergal-S
Phentermine,1640,IV,N,Ionamin; Fastin; Adipex-P; Obe-Nix; Zantryl
Phenylacetone,8501,II,N,P2P; phenyl-2-propanone; benzyl methyl ketone
Piminodine,9730,II,Y,
Pinazepam,2883,IV,N,Domar
Pipradrol,1750,IV,N,Detari; Stimolag Fortis
Poppy Straw,9650,II,Y,Opium poppy capsules; poppy heads
Poppy Straw Concentrate,9670,II,Y,"Concentrate of Poppy Straw, CPS"
Prazepam,2764,IV,N,Centrax
Pregabalin,2782,V,N,Lyrica
"Prostanozol (17β-hydroxy-5α-androstano[3,2-c]pyrazole)",4000,III,N,"Prostanozol; [3,2-c]pyrazole-5α-androstan-17β-ol"
Pyrovalerone,1485,V,N,Centroton; Thymergix
Quazepam,2881,IV,N,Doral
Racemethorphan,9732,II,Y,
Racemorphan,9733,II,Y,Dromoran
Remifentanil,9739,II,Y,Ultiva
"Remimazolam (4H-imidazol[1,2-a][1,4]benzodiazepine-4-propionic acid)",2846,IV,N,"8-Bromo-1-methyl-6-(2-pyridinyl)-(4S)-methyl ester, benzenesulfonate (1:1); methyl 3-[(4S)-8-bromo-1-methyl-6-pyridin-2-yl-4H-imidazo[1,2-a][1,4]benzodiazepin-4yl]propanoate benzenesulfonic acid"
Secobarbital,2315,II,N,Seconal; Tuinal
Secobarbital & noncontrolled active ingred,2316,III,N,
Secobarbital suppository dosage form,2316,III,N,
Serdexmethylphenidate,1729,IV,N,
Sibutramine,1675,IV,N,Meridia
"Solriamfetol (2-amino-3-phenylpropyl car-bamate; benzenepropanol, beta-amino-, carbamate (ester))",1650,IV,N,
SPA,1635,IV,N,"1-Dimethylamino-1,2-diphenylethane; Lefetamine"
"Stanozolol (17α-methyl-17β-hydroxy-5α-androst-2-eno[3,2-c]-pyrazole)",4000,III,N,Winstrol; Winstrol-V
Stenbolone (17β-hydroxy-2-methyl-5α-androst-1-en-3-one),4000,III,N,
Stimulant compounds previously excepted,1405,III,N,Mediatric
Sufentanil,9740,II,Y,Sufenta
Sulfondiethylmethane,2600,III,N,
Sulfonethylmethane,2605,III,N,
Sulfonmethane,2610,III,N,
Suvorexant,2223,IV,N,"MK-4305; [(7R)-4-(5-chloro-1,3-benzoxazol-2-yl)-7-methyl-1,4-diazepan-1-yl][5-methyl-2-(2H-1,2,3-triazol-2-yl)phenyl]methanone"
Talbutal,2100,III,N,Lotusate
Tapentadol,9780,II,Y,
Temazepam,2925,IV,N,Restoril
"Testolactone (13-hydroxy-3-oxo-13,17-secoandrosta-1,4-dien-17-oic acid lactone)",4000,III,N,Teolit; Teslac
Testosterone (17β-hydroxyandrost-4-en-3-one),4000,III,N,Android-T; Androlan; Depotest; Delatestryl
"Tetrahydrogestrinone (13β,17α-diethyl-17β-hydroxygon-4,9,11-trien-3-one)",4000,III,N,THG
Tetrazepam,2886,IV,N,Myolastan; Musaril
Thebaine,9333,II,Y,Precursor of many narcotics
Thiafentanil,9729,II,Y,Thianil
Thiamylal,2100,III,N,Surital
Thiopental,2100,III,N,Pentothal
Tiletamine & Zolazepam Combination Product,7295,III,N,Telazol
Tramadol (2-[(dimethylamino)methyl]-1-(3-methoxyphenyl)cyclohexanol),9752,IV,Y,Tramadol
"Trenbolone (17β-hydroxyestr-4,9,11-trien-3-one)",4000,III,N,Finaplix-S; Finajet; Parabolan
Triazolam,2887,IV,N,Halcion
Vinbarbital,2100,III,N,Delvinal; vinbarbitone
Zaleplon,2781,IV,N,Sonata
Zolpidem,2783,IV,N,Ambien; Ivadal; Stilnoct; Stilnox
Zopiclone,2784,IV,N,Lunesta
Zuranolone,2420,IV,N,ZURZUVAE
Δ1-Dihydrotestosterone (17β-hydroxy-5α-androst-1-en-3-one),4000,III,N,1-Testosterone
