substance,cscn,csa_schedule,narcotic,other_names
"Oxymesterone (17α-methyl-4,17β-dihydroxyandrost-4-en-3-one)",4000,III,N,Anamidol; Balnimax; Oranabol; Oranabol 10
Oxymetholone (17α-methyl-2-hydroxymethylene-17β-hydroxy-5α-androstan-3-one),4000,III,N,Anadrol-50; Adroyd; Anapolon; Anasteron; Pardroyd
"Prostanozol (17β-hydroxy-5α-androstano[3,2-c]pyrazole)",4000,III,N,"Prostanozol; [3,2-c]pyrazole-5α-androstan-17β-ol"
"Stanozolol (17α-methyl-17β-hydroxy-5α-androst-2-eno[3,2-c]-pyrazole)",4000,III,N,Winstrol; Winstrol-V
Stenbolone (17β-hydroxy-2-methyl-5α-androst-1-en-3-one),4000,III,N,
"Testolactone (13-hydroxy-3-oxo-13,17-secoandrosta-1,4-dien-17-oic acid lactone)",4000,III,N,Teolit; Teslac
Testosterone (17β-hydroxyandrost-4-en-3-one),4000,III,N,Android-T; Androlan; Depotest; Delatestryl
"Trenbolone (17β-hydroxyestr-4,9,11-trien-3-one)",4000,III,N,Finaplix-S; Finajet; Parabolan
Δ1-Dihydrotestosterone (17β-hydroxy-5α-androst-1-en-3-one),4000,III,N,1-Testosterone
13β-Ethyl-17β-hydroxygon-4-en-3-one,4000,III,N,
"18a-Homo-3-hydroxy-estra-2,5(10)-dien-17-one",4000,III,N,
"3β-Hydroxy-estra-4,9,11-trien-17-one",4000,III,N,
"Estra-4,9,11-triene-3,17-dione",4000,III,N,
"Methyldienolone (17α-methyl-17β-hydroxyestra-4,9(10)-dien-3-one)",4000,III,N,
"Methyltrienolone (17α-methyl-17β-hydroxyestra-4,9,11-trien-3-one)",4000,III,N,Metribolone
"Norbolethone (13β,17α-diethyl-17β-hydroxygon-4-en-3-one)",4000,III,N,Genabol
Norethandrolone (17α-ethyl-17β-hydroxyestr-4-en-3-one),4000,III,N,Nilevar; Pronabol; Solevar
Normethandrolone (17α-methyl-17β-hydroxyestr-4-en-3-one),4000,III,N,Lutenin; Matronal; Orgasteron
"Tetrahydrogestrinone (13β,17α-diethyl-17β-hydroxygon-4,9,11-trien-3-one)",4000,III,N,THG
